message,polarity,polarity classification
feeling great,1.0,1
in feeling very good,1.0,1
good relaxed,1.0,1
full of energy,1.0,1
entertained,1.0,1
happy and sad,0.0,0
good calm,1.0,1
good and tired,-0.5,-1
feeling pretty good,1.0,1
good tired,-0.5,-1
i am feeling great,1.0,1
pretty positive,1.0,1
good productive,0.5,1
funny,-0.1,-1
ll,1.0,1
good a bit tired,-0.5,-1
not very good,-1.0,-1
in happy ,1.0,1
good happy,1.0,1
not so well,-1.0,-1
in feeling happy,1.0,1
good excited,1.0,1
fabulous,1.0,1
quite happy,1.0,1
good but sleepy,-0.1,-1
sad,-1.0,-1
bad,-1.0,-1
low,-1.0,-1
down,-1.0,-1
shit,-1.0,-1
horrible,-1.0,-1
not good,-1.0,-1
thirty,-1.0,-1
terrible,-1.0,-1
not great,-1.0,-1
very sad,-1.0,-1
a little sad,-1.0,-1
awful,-1.0,-1
not too bad,0.1,1
nostalgic,-1.0,-1
blew,-1.0,-1
in sad,-1.0,-1
i feel sad,-1.0,-1
summed,-1.0,-1
a little down,-1.0,-1
a bit sad,-1.0,-1
unhappy,-1.0,-1
broken,-1.0,-1
like shit,-1.0,-1
kind sad,-1.0,-1
sad and lonely,-0.75,-1
sad and angry,-1.0,-1
a bit down,-1.0,-1
blue,-1.0,-1
a little bit sad,-1.0,-1
really sad,-0.95,-1
gathered,-1.0,-1
poor,-1.0,-1
desperate,-1.0,-1
sad and depressed,-1.0,-1
sad and anxious,-1.0,-1
summed out,-1.0,-1
up and down,0.1,1
pretty low,-1.0,-1
i am sad,-1.0,-1
in feeling sad,-1.0,-1
sad and tired,-0.75,-1
really bad,-1.0,-1
very bad,-1.0,-1
rubbish,-1.0,-1
sad hopeless,-1.0,-1
a bit low,-1.0,-1
kind down,-1.0,-1
little sad,-1.0,-1
louse,-1.0,-1
sad tired,-1.0,-1
i feel down,-1.0,-1
in feeling down,-1.0,-1
say,-1.0,-1
low energy,-0.5,-1
sad angry,-1.0,-1
cry,-1.0,-1
sad and disappointed,-0.8,-1
really down,-1.0,-1
bit sad,-1.0,-1
negative,-1.0,-1
sad and frustrated,-0.9,-1
sad depressed,-1.0,-1
sad and alone,-0.75,-1
kind of sad,-1.0,-1
wistful,-1.0,-1
sad confused,-0.55,-1
gloomy,-1.0,-1
sad low in energy insecure,-0.75,-1
extremely sad,-1.0,-1
not to bad,-1.0,-1
little down,-1.0,-1
not good not bad,-1.0,-1
i feel horrible,-1.0,-1
tucked up,-0.5,-1
a little blue,-1.0,-1
somewhat sad,-1.0,-1
so sad,-1.0,-1
sad anxious,-1.0,-1
sad but ok,-1.0,-1
very low,-1.0,-1
resigned,-1.0,-1
sad frustrated,-0.9,-1
i feel sad and lonely,-0.75,-1
a little low,-1.0,-1
a little sad and anxious,-1.0,-1
in down,-1.0,-1
pretty thirty,-1.0,-1
i am sad and lonely,-0.75,-1
pretty shit,-1.0,-1
mostly sad,-1.0,-1
extremely bad,-1.0,-1
kind of sad in thinking about my friend who died recently since we talked about her last night and in still upset i didn get to say goodby,-0.6,-1
bad really bad,-1.0,-1
longing,-1.0,-1
downtrodden,-1.0,-1
sad exhausted,-0.75,-1
kind of down,-1.0,-1
kind bad,-1.0,-1
ugh,-1.0,-1
anxious,-1.0,-1
worried,-1.0,-1
nervous,-1.0,-1
overwhelmed,-1.0,-1
tense,-1.0,-1
a little anxious,-1.0,-1
concerned,-1.0,-1
apprehensive,-1.0,-1
unstable,-1.0,-1
a bit anxious,-1.0,-1
on edge,-1.0,-1
slightly anxious,-1.0,-1
anxiety,-1.0,-1
i feel anxious,-1.0,-1
little anxious,-1.0,-1
a little nervous,-1.0,-1
a bit nervous,-1.0,-1
a little overwhelmed,-1.0,-1
i feel overwhelmed,-1.0,-1
uncertain,-0.75,-1
anxious and sad,-1.0,-1
in worried,-1.0,-1
a little bit anxious,-1.0,-1
in anxious,-1.0,-1
in nervous,-1.0,-1
worry,-1.0,-1
disoriented,-0.7666666666666667,-1
a little worried,-1.0,-1
very anxious,-1.0,-1
mildly anxious,-1.0,-1
a bit worried,-1.0,-1
distressed,-1.0,-1
anxious and miserable,-1.0,-1
tense,-1.0,-1
anxious and excited,0.0,0
anxious and worried,-1.0,-1
nervous and excited,0.0,0
feeling nervous,-1.0,-1
in feeling anxious,-1.0,-1
anxious and depressed,-1.0,-1
little nervous,-1.0,-1
in a little nervous,-1.0,-1
anxious and stressed,-0.55,-1
a little bit nervous,-1.0,-1
somewhat anxious,-1.0,-1
a bit tense,-1.0,-1
a bit on edge,-1.0,-1
paranoid,-1.0,-1
anxious and tired,-0.75,-1
really nervous,-1.0,-1
worried about the future,-1.0,-1
i am feeling a little anxious,-1.0,-1
anxious and tense,-1.0,-1
bit anxious,-1.0,-1
a little anxious but okay,-0.45,-1
anxious sad,-1.0,-1
anxious but okay,-0.45,-1
little worried,-1.0,-1
extremely anxious,-1.0,-1
i feel nervous,-1.0,-1
anxious tired,-0.75,-1
i am feeling worried,-1.0,-1
edge,-1.0,-1
distraught,-1.0,-1
some anxiety,-1.0,-1
slightly worried,-1.0,-1
worry,-1.0,-1
anxious and frustrated,-0.9,-1
a bit overwhelmed,-1.0,-1
unstable and anxious about the future,-1.0,-1
nervous and anxious,-1.0,-1
some anxiety over my family but not work,-1.0,-1
very anxious and procrastinating,-0.9,-1
a bit nervous about all the work and travel coming up,-1.0,-1
not much different nervous at time okay at other time,-1.0,-1
in feeling a little apprehensive,-1.0,-1
i am tense about my delayed timeline,-1.0,-1
i am feeling a little anxious about how thing are going to turn out during the meeting,-1.0,-1
little anxious but not mostly ok,-0.45,-1
slightly nervous,-1.0,-1
worried and anxious,-1.0,-1
really anxious,-1.0,-1
anxious horrible,-1.0,-1
feel anxious,-1.0,-1
worried alone,-1.0,-1
give been anxious yesterday and now much better,-1.0,-1
sometimes i feel overwhelmed and sometimes i feel happy,0.0,0
in feeling anxious a bit in trying to relax,-1.0,-1
a little worry,-1.0,-1
kind anxious i guess,-1.0,-1
feeling bit nervous,-1.0,-1
nervous depressed worried sleepy,-0.7,-1
worried stressed,-0.55,-1
just a little nervous,-1.0,-1
i am anxious but happy,0.0,0
in feeling a bit anxious but not too much,-1.0,-1
anxious and scared sometimes trying to be positive but there are negative thought,-1.0,-1
in feeling extremely distressed and low i dont have any idea how to tackle this i am depressed to say the least,-1.0,-1
in feeling kind overwhelmed because i expect everything to happen a i have planned it so when thing dont run smoothly it an emotional strain,-0.65,-1
anxious a bit down,-1.0,-1
okay,0.1,1
ok,0.1,1
fine,0.1,1
neutral,0.1,1
alright,0.1,1
not bad,0.1,1
in ok,0.1,1
in okay,0.1,1
decent,0.1,1
i feel okay,0.1,1
i feel ok,0.1,1
i feel fine,0.1,1
in fine,0.1,1
in alright,0.1,1
i feel alright,0.1,1
in feeling ok,0.1,1
fair,0.1,1
feeling ok,0.1,1
ok i guess,0.1,1
in feeling okay,0.1,1
okay i guess,0.1,1
medium,0.1,1
pretty okay,0.1,1
just ok,0.1,1
in feeling fine,0.1,1
it ok,0.1,1
i am ok,0.1,1
it okay,0.1,1
i am fine,0.1,1
i feel neutral,0.1,1
in feeling alright,0.1,1
feel ok,0.1,1
a usual,0.1,1
okay tired,-0.2,-1
i am feeling ok,0.1,1
just fine,0.1,1
goods,0.1,1
grayish,0.1,1
feeling alright,0.1,1
feeling fine,0.1,1
ok kind,0.1,1
pretty decent,0.1,1
ok thanks,0.1,1
pretty ok,0.1,1
ok ok,0.1,1
in doing ok,0.1,1
fine,0.1,1
alright,0.1,1
quite ok,0.1,1
feel okay,0.1,1
all right,0.1,1
regular,0.1,1
obey,0.1,1
in doing alright,0.1,1
feeling okay,0.1,1
just okay,0.1,1
in okay i guess,0.1,1
mostly okay,0.1,1
find,0.1,1
i am alright,0.1,1
fine thanks,0.1,1
pretty neutral,0.1,1
i am feeling okay,0.1,1
alright i guess,0.1,1
it alright,0.1,1
it fine,0.1,1
okay good,0.1,1
in doing fine,0.1,1
i feel fine today,0.1,1
ok but tired,-0.2,-1
ok not bad,0.1,1
alright thank you,0.1,1
i feel fine,0.1,1
ok relaxed,0.1,1
my mood is alright dad called today and made me cry not that he knew ,0.1,1
pretty dark fine,0.1,1
fine i guess,0.1,1
i am okay,0.1,1
okay relaxed,0.1,1
okay could be better,0.1,1
in okay just tired,-0.2,-1
k,0.1,1
not bad at all,0.1,1
quite alright,0.1,1
not okay,-1.0,-1
it decent,0.1,1
in decent,0.1,1
one,0.1,1
in alright thank you,0.1,1
it totally fine,0.1,1
in pretty okay,0.1,1
ok kind tired,-0.2,-1
in ok in pushing through the mud,-0.2,-1
i am feeling fine,0.1,1
not ok,-1.0,-1
oka,0.1,1
generally okay,0.1,1
pretty fine,0.1,1
fine thank you,0.1,1
stressed,-0.1,-1
busy,-0.1,-1
a bit stressed,-0.1,-1
a little stressed,-0.1,-1
stressed out,-0.1,-1
rushed,-0.1,-1
stressed and tired,-0.1,-1
in stressed,-0.1,-1
slightly stressed,-0.1,-1
pressure,-0.1,-1
stressed and frustrated,-0.45,-1
distressful,-0.1,-1
in feeling stressed,-0.1,-1
i feel stressed,-0.1,-1
in a little stressed,-0.1,-1
pressure,-0.1,-1
stressed and anxious,-0.55,-1
stress,-0.1,-1
little stressed,-0.1,-1
stressed angry,-0.55,-1
very stressed,-0.1,-1
stressed about work,-0.1,-1
stressed and anxious about money and my future,-0.55,-1
stressed tense tired productive,-0.4666666666666667,-1
stressed angry annoyed,-0.6333333333333333,-1
stressed about nothing,-0.1,-1
slightly stressed but it manageable,-0.1,-1
pressure and fear and refreshing,-0.55,-1
stressed and worried,-0.55,-1
stressed and sleepy,-0.1,-1
stressed out and exhausted,-0.3,-1
stressed of because whoever invented the he can die,-0.1,-1
very very very very distressful,-0.1,-1
stressed and worried that in not a good person,-0.55,-1
pretty stressed,-0.1,-1
stressed whatever i do it seems be never good enough,-0.1,-1
stressed out about the job,-0.1,-1
quite stressed,-0.1,-1
stressed have a lot on my plate,-0.1,-1
stressed but peaceful,0.45,1
stressed worried heavy and yearning for change,-0.55,-1
incredibly stressed,-0.1,-1
busy hard,-0.1,-1
stressed out but the stress is over,-0.1,-1
just stressed out about thing,-0.1,-1
distressful but chill,0.45,1
busy but productive,0.2,1
stressed worried about a test result,-0.55,-1
stressed scared,-0.1,-1
i feel stressed but not,-0.1,-1
a little stressed but happy to be home,0.45,1
head ache busy,-0.25,-1
stressed but happy,0.45,1
i feel stressed and worried also overturned,-0.5333333333333333,-1
insomnia work stress work worry character and life thought going around my mind,-0.1,-1
busy ,0.5,1
in feeling a little stressed out but have very high energy,0.45,1
a bit busy but good,-0.1,-1
stressed but hopefully,0.2,1
stress and nervous,-0.55,-1
mildly stressed,-0.1,-1
stressed worried excited optimistic,-0.55,-1
very stressed out,-0.1,-1
it quite distressful at work feel like in always stepping on eggshell trying not to make any wrong move,-0.1,-1
in a little stressed and sore,-0.55,-1
feeling busy,-0.1,-1
bit stressed,-0.1,-1
a bit stressed because i dont know how i should plan my week and what time are the best to study,-0.1,-1
i worked fell behind on my planning for a bit but got back on track,-0.1,-1
stressed anxious,-0.55,-1
stressed but le than yesterday,-0.1,-1
somewhat stressed,-0.1,-1
in busy,-0.1,-1
a little stressed out,-0.1,-1
just really stressed,-0.1,-1
in feeling stress,-0.1,-1
it final time so a little stressed,-0.1,-1
feeling a bit stressed,-0.1,-1
slightly stressed fear of the unknown,-0.1,-1
a bit busy,-0.1,-1
i feel a bit stressed,-0.1,-1
i just came from working out and i am busy making dinner so that is why i have a lot of energy,-0.1,-1
stressed anxious but not out of control,-0.55,-1
stressed and angry,-0.55,-1
stressed anxious wound up,-0.55,-1
stressed and depressed,-0.55,-1
little stressed by my boyfriend,-0.1,-1
physically strained,-0.5,-1
my mind is busy,-0.1,-1
stressed out but ok,0.0,0
stressed and upset,-0.5,-1
i feel stressed out,-0.1,-1
stressed and full of fear,-0.55,-1
stressed but good,-0.1,-1
stress,-0.1,-1
i feel rushed and frustrated,-0.45,-1
stress confused i wa ignored but now i want closer,-0.4,-1
a little stressed at work but more exasperated people keep expecting you to know thing that you had no reason to know,-0.45,-1
depressed,-1.0,-1
hopeless,-1.0,-1
a little depressed,-1.0,-1
very depressed,-1.0,-1
depressed and anxious,-1.0,-1
a bit depressed,-1.0,-1
i feel depressed,-1.0,-1
depression,-1.0,-1
kind depressed,-1.0,-1
little depressed,-1.0,-1
mildly depressed,-1.0,-1
depressed and upset,-0.95,-1
beyond hopeless,-1.0,-1
depressed lonely,-0.75,-1
depressed anxious,-1.0,-1
depressed sad,-1.0,-1
depressing,-1.0,-1
really depressed,-1.0,-1
depressed and stressed,-0.55,-1
in depressed,-1.0,-1
slightly depressed,-1.0,-1
depressed it just feel like in making everyone around me happy just not myself,-1.0,-1
very depressed and very anxious,-1.0,-1
depressed angry,-1.0,-1
very depressed and extreme anxiety,-1.0,-1
everything is the same every day is the same monotonous depressed,-1.0,-1
depressed lonely uneasy,-0.6666666666666666,-1
in a hopeless lower,-1.0,-1
depressed lonely crouch frustrated,-0.7666666666666667,-1
kind hopeless in back to doing everything again now that the weekend is over,-1.0,-1
in very depressed,-1.0,-1
feeling depressed about starting the day,-1.0,-1
depressed and lonely and broken,-0.8333333333333334,-1
depressed irritable framing i feel like my mental state is deteriorating rapidly,-0.9,-1
depressed bored tired,-0.5333333333333333,-1
depressed unmoved unwanted,-1.0,-1
severe depression,-1.0,-1
depressed,-1.0,-1
depressed and worried,-1.0,-1
i feel a bit depressed but happy,-1.0,-1
very depressed and sad,-1.0,-1
hopeless,-1.0,-1
depressed but not anxious,-1.0,-1
depressed down twisted up inside,-1.0,-1
hopeless angry scared sad,-1.0,-1
depressed panic,-0.9333333333333333,-1
kind of depressed,-1.0,-1
depressed and alone and tired,-0.6666666666666666,-1
i feel hopeless because i have so many assignment,-0.55,-1
depressed because of work,-1.0,-1
depressed sad confused,-0.7,-1
depressed frustrated hopeless,-0.9,-1
severely depressed,-1.0,-1
depressed anxious sick and tired,-0.675,-1
feeling a little depressed,-1.0,-1
depressed and not thrilled,-1.0,-1
depressed ashamed,-0.8,-1
mildly depressed but ok,-1.0,-1
depressed still,-1.0,-1
depressed and low,-1.0,-1
mildly depressed and anxious,-1.0,-1
depressed stressed anxious lack of confidence,-0.775,-1
incredibly depressed,-1.0,-1
i am depressed and hopeless i am sad tired anxious and lonely,-0.8,-1
a little depressed and feeling quite a bit of grief and helplessness,-1.0,-1
depressed anxious self hatred,-1.0,-1
depressed and grieving,-1.0,-1
depressed anxious self hatred empty worthless,-0.8666666666666667,-1
i am feeling depressed i didn sleep well last night in worried about my job,-0.55,-1
in feeling depressed,-1.0,-1
depressed and listless,-0.8,-1
in feeling pretty hopeless,-1.0,-1
depressednfrustratednpainful,-0.9333333333333333,-1
hopeless sad,-1.0,-1
depressed and sad,-1.0,-1
depressed hopeless,-1.0,-1
i fell a bit depressed,-1.0,-1
depressed anxious envious,-1.0,-1
not depressed but down,-1.0,-1
in feeling really depressed,-1.0,-1
a little more depressed than normal,-1.0,-1
depressed sad numb,-0.8666666666666667,-1
in feeling pretty depressed and restless,-0.6,-1
hopeless and wrapped,-1.0,-1
i feel little depressed,-1.0,-1
hopeless anger soft empowered,-0.3333333333333333,-1
depressed exhausted,-0.75,-1
fucking depressed i miss heather so much,-1.0,-1
depressed dreading i feel useless,-1.0,-1
in feeling hopeless and heartbroken,-1.0,-1
depressed feeling of worthlessness,-1.0,-1
kind depressed anxious,-1.0,-1
i feel hopeless heartbroken and defeated,-1.0,-1
depressed and self conscious,-1.0,-1
depressed and packed,-0.9333333333333333,-1
a little depression,-1.0,-1
depressed resigned feeling lack luster,-1.0,-1
depressed useless just hate not being able to play with my kid,-1.0,-1
depressed and disgusted,-1.0,-1
i feel like hell in depressed in ashamed i hate myself,-0.8,-1
calm,1.0,1
relaxed,1.0,1
content,1.0,1
hopeful,1.0,1
peaceful,1.0,1
chill,1.0,1
nice,1.0,1
cool,1.0,1
relax,1.0,1
peace,1.0,1
mellow,1.0,1
chilled,1.0,1
balanced,1.0,1
rested,1.0,1
comfortable,1.0,1
i feel calm,1.0,1
i feel relaxed,1.0,1
contented,1.0,1
at ease,1.0,1
refreshed,1.0,1
in content,1.0,1
calm,1.0,1
even,1.0,1
relaxed and happy,1.0,1
quiet,1.0,1
pleasant,1.0,1
awake,1.0,1
calm and happy,1.0,1
relaxing,1.0,1
i feel content,1.0,1
serene,1.0,1
fresh,1.0,1
at peace,1.0,1
smooth,1.0,1
pretty content,1.0,1
hopefully,1.0,1
in relaxed,1.0,1
in feeling content,1.0,1
feeling relaxed,1.0,1
pretty relaxed,1.0,1
calm happy,1.0,1
clear,1.0,1
very calm,1.0,1
calm and relaxed,1.0,1
i feel peaceful,1.0,1
safe,1.0,1
easy,1.0,1
chilled out,1.0,1
shilling,1.0,1
copy,1.0,1
in feeling calm,1.0,1
pretty chill,1.0,1
passive,1.0,1
in calm,1.0,1
content happy,1.0,1
relaxed content,1.0,1
fairly calm,1.0,1
calm and tired,0.25,1
i feel relaxed and happy,1.0,1
relaxed and tired,0.25,1
calm relaxed,1.0,1
collected,1.0,1
quite calm,1.0,1
relaxed and excited,1.0,1
relaxed and calm,1.0,1
in quite relaxed,1.0,1
a bit calm,1.0,1
still sick,-0.2,-1
pretty content,1.0,1
peace,1.0,1
just relaxed,1.0,1
content and hopeful,1.0,1
in still sick,-0.2,-1
feel nice,1.0,1
peaceful tired,1.0,1
relaxed ,1.0,1
zen,1.0,1
very nice,1.0,1
relaxed mostly,1.0,1
v nice boy,1.0,1
fairly relaxed,1.0,1
calm relax,1.0,1
hopeful,1.0,1
quite chill,1.0,1
calm and sleepy,0.45,1
peacefully,1.0,1
calm relaxed,1.0,1
peaceful and happy,1.0,1
i feel chill,1.0,1
calm tired,0.25,1
still,1.0,1
content but anxious,0.0,0
calm and content,1.0,1
feel relaxed,1.0,1
relaxed happy,1.0,1
calm and bored,0.45,1
calm but tired,0.25,1
content and calm,1.0,1
calm before the storm,1.0,1
calm and focused,0.75,1
lonely,-0.5,-1
alone,-0.5,-1
unmoved,-0.5,-1
unwanted,-0.5,-1
i feel lonely,-0.5,-1
abandoned,-0.5,-1
isolated,-0.5,-1
rejected,-0.5,-1
kind of lonely,-0.5,-1
i feel lonely restless bad about my body,-0.6666666666666666,-1
a bit lonely,-0.5,-1
in lonely,-0.5,-1
only,-0.5,-1
lonely sad depressed,-0.8333333333333334,-1
feeling lonely,-0.5,-1
i have an unwanted house guest,-0.5,-1
alone bad worthless,-0.8333333333333334,-1
a bit lonely and contemplative,-0.5,-1
left out,-0.5,-1
feeling a little lonely,-0.5,-1
lonely hopeless,-0.75,-1
feel lonely and bored,-0.3,-1
lonely and heart broken,-0.8333333333333334,-1
in lonely and sad,-0.75,-1
lonely,-0.5,-1
alone upset sad lost empty,-0.7,-1
very lonely,-0.5,-1
i feel alone and like nothing ha a purpose anymore,-0.75,-1
i feel a little lonely,-0.5,-1
in feeling kind of lonely,-0.5,-1
lonely broken down,-0.8333333333333334,-1
lonely and sluggish,-0.5,-1
lonely hopeless boring,-0.5333333333333333,-1
a little lonely but okay,-0.2,-1
lonely but good about exercising,-0.5,-1
not lonely though alone taking some much needed time to myself i wa with people most of the day and have another gathering then event tonight,-0.5,-1
lonely and like the world is against me,-0.5,-1
lonely ignored upset,-0.8,-1
alone but it ok,-0.5,-1
i am feeling alone,-0.5,-1
i feel lonely and i miss the guy,-0.75,-1
feeling lonely and worthless,-0.5,-1
i guess i feel a little sadden i feel like in not achieving much in life a little bit lonely,-0.5,-1
mostly lonely,-0.5,-1
lonely not calm focused not quite here,-0.55,-1
alone real hungry,-0.3,-1
a little lonely,-0.5,-1
suddenly felt very alone,-0.5,-1
very sensitive kind lonely and ache,-0.6,-1
alone and sad,-0.75,-1
kind lonely,-0.5,-1
i feel alone like in a lower because i have anxiety everywhere i go and with whatever i do i feel like my life is meaningless like in useless to the world,-0.75,-1
lonely and bored,-0.3,-1
i feel lonely and sad empty,-0.7,-1
lonely and hungry,-0.3,-1
in lonely and depressed,-0.75,-1
a bit lonely but okay,-0.2,-1
lonely and content,0.25,1
lonely sad,-0.75,-1
lonely frustrated and unmotivated,-0.7000000000000001,-1
alone and boring and hurt,-0.5333333333333333,-1
isolated lonely sad,-0.75,-1
lonely fat depressed,-0.8333333333333334,-1
lonely,-0.5,-1
i guess kind of lonely,-0.5,-1
lonely tired,-0.5,-1
i feel lonely and stressed,-0.3,-1
i am lonely and sad,-0.75,-1
i feel a little bit lonely,-0.5,-1
lonely,-0.5,-1
i am feeling very lonely and sad i feel homesick,-0.8333333333333334,-1
unexpectedly home alone being productive surprisingly perturbed,0.5,1
unwanted and like ill never be good enough,-0.75,-1
lonely and sad,-0.75,-1
lonely and depressed,-0.75,-1
feel lonely and powerless,-0.5,-1
i feel very much unmoved and i dont understand why,-0.5,-1
a bit lonely but in alright,-0.5,-1
lonely and loved,0.25,1
today i felt a little bit lonely,-0.5,-1
lonely and physically uncomfortable,-0.75,-1
lonely and a little empty,-0.55,-1
lonely confused,-0.3,-1
weep unwanted thrown away,-0.5,-1
alone and bad,-0.75,-1
trilled to be going on vacation starting tomorrow lonely socially awkward bored worried,-0.15,-1
i want to have a boyfriend i feel so lonely,-0.5,-1
lonely beer,-0.5,-1
in feeling a bit lonely a usual whenever in alone especially after a long day together with andy,-0.5,-1
sleepy,-0.1,-1
in sleepy,-0.1,-1
a little sleepy,-0.1,-1
in feeling sleepy,-0.1,-1
very sleepy,-0.1,-1
sleeping,-0.1,-1
feeling sleepy,-0.1,-1
i feel sleepy,-0.1,-1
sleepy and tired,-0.3,-1
a little sleepy excited to go to bed,0.45,1
a little sleepy but up for new challenge,-0.1,-1
sleepy relaxed,-0.1,-1
in a bit sleepy but overall in good i feel like i wa productive again today which feel great,0.4666666666666667,1
in very sleepy and unmotivated,-0.45,-1
in sleepy but fine,0.0,0
sleepy and sore,-0.55,-1
in sleepy but mostly happy,0.45,1
in feeling sleepy and also content,0.45,1
sleepy  but good,-0.1,-1
sleepy l ache,-0.55,-1
can sleep,-0.1,-1
sleepy low energy,-0.3,-1
sleepy exhausted,-0.3,-1
sleepy but awake,-0.1,-1
i feel sleepy,-0.1,-1
sleepy and excited,0.45,1
sleepy but content,0.45,1
sleepy but good,-0.1,-1
sleep,-0.1,-1
i can sleep i feel wound up,-0.1,-1
sleepy since i just woke up,-0.1,-1
in feeling sleepy but good,-0.1,-1
a little bit sleepy,-0.1,-1
in very very sleep,-0.1,-1
sleepy hopeless,-0.55,-1
sleepy not enough rest,-0.1,-1
i feel sleepy today,-0.1,-1
sleepy relieved,0.45,1
actually i guess i do feel sleepy,-0.1,-1
i feel sleepy but excited to play basketball and go to a concert,0.45,1
sleepy and strengthens,-0.1,-1
laying on my bed i can sleep,-0.1,-1
sleepy calm,0.45,1
enjoying the sleepy mood after a stressed week,-0.1,-1
sleepy but happy for the most part,0.45,1
feel a had sleepy,-0.1,-1
i just got up so in a little sleepy,-0.1,-1
sleepy a little hungry,-0.1,-1
sleepy and happy,0.45,1
i feel sleepy but happy,0.45,1
sleepy and wanting to rest for a bit,-0.1,-1
sleepy,-0.2,-1
sleepy pain foggy regretful,-0.6333333333333333,-1
sleepy and ready to face the day,0.4666666666666667,1
sleepy positive,-0.1,-1
i am feeling sleepy because i haven slept yet today,-0.1,-1
sleepy sore,-0.55,-1
sleepy ll,-0.1,-1
id rather be sleeping because i slept poorly last night but i have to be at work in not happy but in not sad just here,0.0,0
i feel sleepy an happy,-0.1,-1
having trouble sleeping,-0.1,-1
sleepy and thinking about the outcome of wearing glass,-0.1,-1
sleepy neutral and a little confused,-0.03333333333333333,-1
a bit sleepy but pretty much content,0.45,1
sleepy and bored,-0.1,-1
in really really sleepy,-0.1,-1
sleep,-0.1,-1
in feeling sleepy didn catch much sleep last night and also a little anxious,-0.55,-1
now am feeling sleepy,-0.1,-1
sleepy ,-0.1,-1
sleepy and strange,-0.3,-1
sleepy and restless,-0.15000000000000002,-1
sleepiness,-0.1,-1
sleepy but fine,0.0,0
